# Time(s) Pressure(Pa)
0.000000e+00 -1.929699e+05
0.000000e+00 -1.961622e+05
0.000000e+00 -1.982076e+05
0.000000e+00 -1.990850e+05
0.000000e+00 -1.987931e+05
0.000000e+00 -1.973496e+05
0.000000e+00 -1.947916e+05
0.000000e+00 -1.911742e+05
0.000000e+00 -1.865693e+05
0.000000e+00 -1.810640e+05
0.000000e+00 -1.747583e+05
0.000000e+00 -1.677635e+05
0.000000e+00 -1.601989e+05
0.000000e+00 -1.521900e+05
0.000000e+00 -1.438654e+05
0.000000e+00 -1.353547e+05
0.000000e+00 -1.267854e+05
0.000000e+00 -1.182815e+05
0.000000e+00 -1.099606e+05
0.000000e+00 -1.019326e+05
0.000000e+00 -9.429817e+04
0.000000e+00 -8.714739e+04
0.000000e+00 -8.055905e+04
0.000000e+00 -7.460008e+04
0.000000e+00 -6.932543e+04
0.000000e+00 -6.477810e+04
0.000000e+00 -6.098959e+04
0.000000e+00 -5.798042e+04
0.000000e+00 -5.576096e+04
0.000000e+00 -5.433232e+04
0.000000e+00 -5.368738e+04
0.000000e+00 -5.381179e+04
0.000000e+00 -5.468501e+04
0.000000e+00 -5.628132e+04
0.000000e+00 -5.857071e+04
0.000000e+00 -6.151965e+04
0.000000e+00 -6.509180e+04
0.000000e+00 -6.924852e+04
0.000000e+00 -7.394922e+04
0.000000e+00 -7.915165e+04
0.000000e+00 -8.481200e+04
0.000000e+00 -9.088490e+04
0.000000e+00 -9.732336e+04
0.000000e+00 -1.040787e+05
0.000000e+00 -1.111002e+05
0.000000e+00 -1.183353e+05
0.000000e+00 -1.257292e+05
0.000000e+00 -1.332250e+05
0.000000e+00 -1.407637e+05
0.000000e+00 -1.482842e+05
0.000000e+00 -1.557240e+05
0.000000e+00 -1.630192e+05
0.000000e+00 -1.701054e+05
0.000000e+00 -1.769180e+05
0.000000e+00 -1.833935e+05
0.000000e+00 -1.894697e+05
0.000000e+00 -1.950873e+05
0.000000e+00 -2.001904e+05
0.000000e+00 -2.047278e+05
0.000000e+00 -2.086536e+05
0.000000e+00 -2.119284e+05
0.000000e+00 -2.145199e+05
0.000000e+00 -2.164036e+05
0.000000e+00 -2.175632e+05
0.000000e+00 -2.179911e+05
0.000000e+00 -2.176886e+05
0.000000e+00 -2.166655e+05
0.000000e+00 -2.149401e+05
0.000000e+00 -2.125388e+05
0.000000e+00 -2.094954e+05
0.000000e+00 -2.058503e+05
0.000000e+00 -2.016495e+05
0.000000e+00 -1.969439e+05
0.000000e+00 -1.917877e+05
0.000000e+00 -1.862376e+05
0.000000e+00 -1.803513e+05
0.000000e+00 -1.741868e+05
0.000000e+00 -1.678005e+05
0.000000e+00 -1.612471e+05
0.000000e+00 -1.545777e+05
0.000000e+00 -1.478396e+05
0.000000e+00 -1.410755e+05
0.000000e+00 -1.343226e+05
0.000000e+00 -1.276126e+05
0.000000e+00 -1.209714e+05
0.000000e+00 -1.144190e+05
0.000000e+00 -1.079696e+05
0.000000e+00 -1.016319e+05
0.000000e+00 -9.540954e+04
0.000000e+00 -8.930131e+04
0.000000e+00 -8.330212e+04
0.000000e+00 -7.740348e+04
0.000000e+00 -7.159421e+04
0.000000e+00 -6.586127e+04
0.000000e+00 -6.019043e+04
0.000000e+00 -5.456711e+04
0.000000e+00 -4.897703e+04
0.000000e+00 -4.340691e+04
0.000000e+00 -3.784508e+04
0.000000e+00 -3.228199e+04
0.000000e+00 -2.671071e+04
0.000000e+00 -2.112724e+04
0.000000e+00 -1.553080e+04
0.000000e+00 -9.924013e+03
0.000000e+00 -4.312972e+03
0.000000e+00 1.292776e+03
0.000000e+00 6.880320e+03
0.000000e+00 1.243357e+04
0.000000e+00 1.793348e+04
0.000000e+00 2.335841e+04
0.000000e+00 2.868442e+04
0.000000e+00 3.388573e+04
0.000000e+00 3.893511e+04
0.000000e+00 4.380437e+04
0.000000e+00 4.846478e+04
0.000000e+00 5.288758e+04
0.000000e+00 5.704439e+04
0.000000e+00 6.090769e+04
0.000000e+00 6.445120e+04
0.000000e+00 6.765028e+04
0.000000e+00 7.048227e+04
0.000000e+00 7.292679e+04
0.000000e+00 7.496604e+04
0.000000e+00 7.658497e+04
0.000000e+00 7.777147e+04
0.000000e+00 7.851651e+04
0.000000e+00 7.881421e+04
0.000000e+00 7.866185e+04
0.000000e+00 7.805990e+04
0.000000e+00 7.701194e+04
0.000000e+00 7.552459e+04
0.000000e+00 7.360741e+04
0.000000e+00 7.127268e+04
0.000000e+00 6.853532e+04
0.000000e+00 6.541265e+04
0.000000e+00 6.192416e+04
0.000000e+00 5.809134e+04
0.000000e+00 5.393742e+04
0.000000e+00 4.948715e+04
0.000000e+00 4.476654e+04
0.000000e+00 3.980270e+04
0.000000e+00 3.462354e+04
0.000000e+00 2.925761e+04
0.000000e+00 2.373389e+04
0.000000e+00 1.808158e+04
0.000000e+00 1.232996e+04
0.000000e+00 6.508226e+03
0.000000e+00 6.453200e+02
0.000000e+00 -5.230166e+03
0.000000e+00 -1.109012e+04
0.000000e+00 -1.690699e+04
0.000000e+00 -2.265392e+04
0.000000e+00 -2.830475e+04
0.000000e+00 -3.383415e+04
0.000000e+00 -3.921767e+04
0.000000e+00 -4.443177e+04
0.000000e+00 -4.945389e+04
0.000000e+00 -5.426252e+04
0.000000e+00 -5.883723e+04
0.000000e+00 -6.315873e+04
0.000000e+00 -6.720896e+04
0.000000e+00 -7.097112e+04
0.000000e+00 -7.442976e+04
0.000000e+00 -7.757089e+04
0.000000e+00 -8.038200e+04
0.000000e+00 -8.285220e+04
0.000000e+00 -8.497232e+04
0.000000e+00 -8.673499e+04
0.000000e+00 -8.813476e+04
0.000000e+00 -8.916820e+04
0.000000e+00 -8.983401e+04
0.000000e+00 -9.013312e+04
0.000000e+00 -9.006877e+04
0.000000e+00 -8.964662e+04
0.000000e+00 -8.887482e+04
0.000000e+00 -8.776405e+04
0.000000e+00 -8.632757e+04
